240kW系统数据											606片	
功率	干入体积流量	干出压力	干出温度	干出湿度	干入质量流量	水传输量	湿入温度	湿入压力	湿入质量流量	湿入湿度		
kw	sl/min 	Pa(a) 	°C 	-	g/s 	g/s 	°C 	Pa(a) 	g/s 	-		
19.71	1940.226	140000	70.5	50.000%	41.64924	3.338425	73	130000	45.232212	0.6655577		
68.14	3950.322	157000	74.3	50.000%	84.79831	7.169794	75.68421	142526.3	92.869073	0.8523319		
134.57	6172.177	196315.8	75.9	46.421%	132.493	8.651679	78.52632	175263.2	143.011	0.9977601		
206.72	8639.113	224736.8	77.8	42.632%	185.4487	10.36502	82.78947	196184.2	198.83841	0.9912888		
283.43	12499.14	246541.4	80.9	35.865%	268.3088	12.89481	89.4812	209699.2	285.57971	0.7931499		
											活性面积	380
所谓干出和湿入，指的是加湿器干侧出口和湿侧入口，两者紧挨着电堆阴极入口和阴极出口，因此可以近似理解成电堆阴极的进出口压力。
240kW试验数据							
系统功率	电堆电流	电堆电压	电堆功率	"电密
380cm2"	"单片电压
606片真电池"	空压机入口流量	空压机入口流量
kW	A	V	kW	A/cm2	V	kg/h	g/s
16.61 	38 	499.30 	19.03 	0.10 	0.824 	122.26 	33.96
31.88 	76 	479.67 	36.53 	0.20 	0.792 	260.75 	72.43
46.61 	114 	463.40 	52.74 	0.30 	0.765 	311.59 	86.55
63.45 	152 	459.35 	69.76 	0.40 	0.758 	272.75 	75.77
76.79 	190 	453.22 	86.08 	0.50 	0.748 	383.88 	106.63
90.34 	228 	446.47 	101.71 	0.60 	0.737 	424.56 	117.93
103.60 	266 	441.61 	117.26 	0.70 	0.729 	473.69 	131.58
116.23 	303 	436.09 	132.21 	0.80 	0.720 	515.71 	143.25
128.45 	341 	431.36 	147.15 	0.90 	0.712 	566.09 	157.25
140.79 	380 	427.28 	162.19 	1.00 	0.705 	613.41 	170.39
153.62 	418 	421.51 	176.20 	1.10 	0.696 	646.33 	179.54
165.92 	456 	415.72 	189.74 	1.20 	0.686 	676.56 	187.93
177.42 	494 	410.99 	203.03 	1.30 	0.678 	715.09 	198.64
188.57 	532 	405.97 	215.99 	1.40 	0.670 	747.27 	207.58
199.05 	570 	399.39 	227.62 	1.50 	0.659 	774.74 	215.21
209.29 	608 	397.06 	241.24 	1.60 	0.655 	826.58 	229.61
218.72 	646 	392.72 	253.80 	1.70 	0.648 	879.27 	244.24
227.96 	685 	389.82 	266.84 	1.80 	0.643 	929.17 	258.10
236.30 	721 	387.27 	279.33 	1.90 	0.639 	978.55 	271.82
