canonicalName,domain,status,shortStatus,directionStatus,unitStatus,consumerState,failureReason,fingerprint
electrical.mode,electrical,planned,not_run,not_run,not_run,SimulationInput_block_parameter,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.mode|Current|Power|-|10|600
electrical.current.profile,electrical,planned,not_run,not_run,not_run,write_target_library_boundary_verified,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.current.profile|100|392|A|10|600
electrical.power.profile,electrical,planned,not_run,not_run,not_run,write_target_library_boundary_verified,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.power.profile|40|150|kW|10|600
electrical.voltage.profile,electrical,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.voltage.profile|410|0|V|10|600
electrical.voltageController.Kp_A_V,electrical,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.voltageController.Kp_A_V|1|1.1|A/V|10|600
electrical.voltageController.Ki_A_V_s,electrical,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.voltageController.Ki_A_V_s|0.05|0.05500000000000001|A/V/s|10|600
electrical.voltageController.currentMin_A,electrical,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.voltageController.currentMin_A|0|392|A|10|600
electrical.voltageController.currentMax_A,electrical,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|electrical.voltageController.currentMax_A|392|0|A|10|600
cathode.airControlMode,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.airControlMode|2|3|-|10|600
cathode.targetOer,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.targetOer|3|5|-|10|600
cathode.targetMdot_kg_s,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.targetMdot_kg_s|0.045|0.0495|kg/s|10|600
cathode.directCommand,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.directCommand|0.5|1|-|10|600
cathode.sourcePressure_MPa_abs,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.sourcePressure_MPa_abs|0.15|0.5|MPa(abs)|10|600
cathode.sourceTemperature_C,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.sourceTemperature_C|20|60|degC|10|600
cathode.outletPressure_MPa_abs,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.outletPressure_MPa_abs|0.1613|0.3|MPa(abs)|10|600
cathode.humidifierRH,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.humidifierRH|0.9|0|-|10|600
cathode.humidifierEnabled,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.humidifierEnabled|1|0|-|10|600
cathode.o2MoleFraction,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.o2MoleFraction|0.21|0.15|-|10|600
cathode.h2oMoleFraction,cathode,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cathode.h2oMoleFraction|0.0115436|0.04|-|10|600
cegr.enabled,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.enabled|false|true|-|10|600
cegr.targetRatio,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.targetRatio|0|0.5|-|10|600
cegr.controlMode,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.controlMode|1|2|-|10|600
cegr.targetInputMode,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.targetInputMode|1|1|-|10|600
cegr.controller.Kp_area,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.controller.Kp_area|0.00019635|0.000215985|m^2|10|600
cegr.controller.Ki_area,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.controller.Ki_area|3.927e-05|4.3197e-05|m^2/s|10|600
cegr.actuatorTau_s,cegr,planned,not_run,not_run,not_run,write_target_referenced,,258813_740208.457|RouteA_Panel_TrustAudit_v07|cegr.actuatorTau_s|0.5|0.55|s|10|600
